timestamp,day,day_id,month,hour,logPR,PR,x_T,T_min_C,T_max_C,T_range_C,z_wind,z_Tamb,T_module_C,T_amb_C,wind_ms,G_POA_Wm2,P_DC_kW,expected_P_DC_kW,power_ratio
2016-06-01 09:00:00,2016-06-01 00:00:00,1,6,9,-0.0698161420413507,0.932565263690503,0.720423892100193,14.78,66.68,51.9,-0.925126455632187,1.16238901249958,52.17,34.13,0.957,697.2,176.2,188.9412,0.932565263690503
2016-06-01 09:05:00,2016-06-01 00:00:00,1,6,9.08333333333333,-0.0395306115935915,0.961240528435819,0.748362235067437,14.78,66.68,51.9,-1.51307603985972,0.983168091606203,53.62,33.47,0.413,524,136.5,142.004,0.961240528435819
2016-06-01 09:10:00,2016-06-01 00:00:00,1,6,9.16666666666667,-0.125671423906551,0.881904571941472,0.726396917148362,14.78,66.68,51.9,-0.430124783617091,0.0517623966603197,52.48,30.04,1.415,777,185.7,210.567,0.881904571941472
2016-06-01 09:15:00,2016-06-01 00:00:00,1,6,9.25,-0.0489589077273133,0.952220257789059,0.647591522157996,14.78,66.68,51.9,-1.56819631338106,-0.0731491542653675,48.39,29.58,0.362,503,129.8,136.313,0.952220257789059
2016-06-01 09:20:00,2016-06-01 00:00:00,1,6,9.33333333333333,-0.0985892216555481,0.906114843941105,0.651830443159923,14.78,66.68,51.9,-1.12183017682596,0.233698786052082,48.61,30.71,0.775,709,174.1,192.139,0.906114843941105
2016-06-01 09:25:00,2016-06-01 00:00:00,1,6,9.41666666666667,0.0287542626465058,1.02917165747897,0.576685934489403,14.78,66.68,51.9,-1.22990914451484,-0.200776173689439,44.71,29.11,0.675,213.8,59.63,57.9398,1.02917165747897
2016-06-01 09:30:00,2016-06-01 00:00:00,1,6,9.5,-0.316266204951651,0.728865396762076,0.521965317919075,14.78,66.68,51.9,-0.648444298348639,-0.475038492026273,41.87,28.1,1.213,888,175.4,240.648,0.728865396762076
2016-06-01 09:40:00,2016-06-01 00:00:00,1,6,9.66666666666667,-0.107671734096073,0.897922305333562,0.7626204238921,14.78,66.68,51.9,-0.794350904728635,0.695328430777446,54.36,32.41,1.078,923,224.6,250.133,0.897922305333562
2016-06-01 09:45:00,2016-06-01 00:00:00,1,6,9.75,-0.106031092720253,0.899396682951711,0.781695568400771,14.78,66.68,51.9,-0.88405644791041,1.20583650847373,55.35,34.29,0.995,926,225.7,250.946,0.899396682951711
2016-06-01 09:50:00,2016-06-01 00:00:00,1,6,9.83333333333333,-0.116217205053941,0.890281828582478,0.836608863198459,14.78,66.68,51.9,-0.521991906152643,1.75164567664902,58.2,36.3,1.33,916,221,248.236,0.890281828582478
2016-06-01 09:55:00,2016-06-01 00:00:00,1,6,9.91666666666667,-0.127002522592118,0.880731450868138,0.877649325626204,14.78,66.68,51.9,-1.27097915223662,1.16781994949635,60.33,34.15,0.637,923,220.3,250.133,0.880731450868138
2016-06-01 10:00:00,2016-06-01 00:00:00,1,6,10,-0.12871320213123,0.879226089558193,0.836994219653179,14.78,66.68,51.9,-0.58143533838153,0.192966758576314,58.22,30.56,1.275,925,220.4,250.675,0.879226089558193
2016-06-01 10:05:00,2016-06-01 00:00:00,1,6,10.0833333333333,-0.128993625006832,0.878979569016469,0.842389210019268,14.78,66.68,51.9,-0.675464040270861,0.252707065540773,58.5,30.78,1.188,924,220.1,250.404,0.878979569016469
2016-06-01 10:10:00,2016-06-01 00:00:00,1,6,10.1666666666667,-0.134627017743945,0.874041853001311,0.859922928709056,14.78,66.68,51.9,-0.822451436327745,1.09178683154158,59.41,33.87,1.052,906,214.6,245.526,0.874041853001311
2016-06-01 10:20:00,2016-06-01 00:00:00,1,6,10.3333333333333,-0.133852657627815,0.874718938272185,0.861464354527938,14.78,66.68,51.9,-0.124261305057544,0.54054672636953,59.49,31.84,1.698,942,223.3,255.282,0.874718938272185
2016-06-01 10:25:00,2016-06-01 00:00:00,1,6,10.4166666666667,-0.132167811724058,0.876193947124657,0.841618497109827,14.78,66.68,51.9,-0.689514306070416,0.575847816848528,58.46,31.97,1.175,972,230.8,263.412,0.876193947124657
2016-06-01 10:30:00,2016-06-01 00:00:00,1,6,10.5,-0.143028233743913,0.866729597528533,0.891907514450867,14.78,66.68,51.9,-0.489568215845978,1.90914284955532,61.07,36.88,1.36,989,232.3,268.019,0.866729597528533
2016-06-01 10:35:00,2016-06-01 00:00:00,1,6,10.5833333333333,-0.145674626124767,0.864438923273695,0.85645472061657,14.78,66.68,51.9,-0.913237769186409,0.48623735640184,59.23,31.64,0.968,1004,235.2,272.084,0.864438923273695
2016-06-01 10:45:00,2016-06-01 00:00:00,1,6,10.75,-0.160501823293457,0.851716270641832,0.899229287090559,14.78,66.68,51.9,-1.22774756516107,1.29544696892042,61.45,34.62,0.677,1006,232.2,272.626,0.851716270641832
2016-06-01 10:50:00,2016-06-01 00:00:00,1,6,10.8333333333333,-0.162684383435416,0.84985937578674,0.919845857418112,14.78,66.68,51.9,-0.88405644791041,0.869118414674054,62.52,33.05,0.995,1026,236.3,278.046,0.84985937578674
2016-06-01 10:55:00,2016-06-01 00:00:00,1,6,10.9166666666667,-0.163438214854679,0.849218966497965,0.957610789980732,14.78,66.68,51.9,-1.22126282709973,1.46109054732187,64.48,35.23,0.683,1012,232.9,274.252,0.849218966497965
2016-06-01 11:10:00,2016-06-01 00:00:00,1,6,11.1666666666667,-0.312295135171991,0.73176552661049,0.876685934489403,14.78,66.68,51.9,-0.876490920172188,0.236414254550466,60.28,30.72,1.002,1005,199.3,272.355,0.73176552661049
2016-06-01 11:15:00,2016-06-01 00:00:00,1,6,11.25,0.0618387065451927,1.06379074840472,0.640655105973025,14.78,66.68,51.9,-0.719776417023304,0.0327541171716282,48.03,29.97,1.147,181,52.18,49.051,1.06379074840472
2016-06-01 11:20:00,2016-06-01 00:00:00,1,6,11.3333333333333,-0.332763548825544,0.716939695348511,0.509055876685934,14.78,66.68,51.9,-1.16290018454774,-0.13560492972821,41.2,29.35,0.737,578,112.3,156.638,0.716939695348511
2016-06-01 11:25:00,2016-06-01 00:00:00,1,6,11.4166666666667,-0.13051906303346,0.877639762313116,0.755105973025048,14.78,66.68,51.9,-1.3217762670504,0.999460902596511,53.97,33.53,0.59,1065,253.3,288.615,0.877639762313116
2016-06-01 11:30:00,2016-06-01 00:00:00,1,6,11.5,-0.14593369600962,0.864215002188237,0.809826589595376,14.78,66.68,51.9,-0.389054775895314,1.6321650627201,56.81,35.86,1.453,732.7,171.6,198.5617,0.864215002188237
2016-06-01 11:35:00,2016-06-01 00:00:00,1,6,11.5833333333333,0.035305829927554,1.03593648073684,0.666666666666667,14.78,66.68,51.9,-0.927288034985965,1.41221211435095,49.38,35.05,0.955,227.4,63.84,61.6254,1.03593648073684
2016-06-01 11:40:00,2016-06-01 00:00:00,1,6,11.6666666666667,0.0369340448085651,1.03762458185329,0.580154142581888,14.78,66.68,51.9,-0.568465862258864,1.14881167000766,44.89,34.08,1.287,267.5,75.22,72.4925,1.03762458185329
2016-06-01 11:45:00,2016-06-01 00:00:00,1,6,11.75,-0.364849990580255,0.69430079472585,0.634104046242774,14.78,66.68,51.9,-0.608455080303752,1.23842213045435,47.69,34.41,1.25,1106,208.1,299.726,0.69430079472585
2016-06-01 12:05:00,2016-06-01 00:00:00,1,6,12.0833333333333,-0.03464129495259,0.965951845923505,0.838728323699422,14.78,66.68,51.9,-0.94133830078552,0.583994222343682,58.31,32,0.942,285.4,74.71,77.3434,0.965951845923505
2016-06-01 12:10:00,2016-06-01 00:00:00,1,6,12.1666666666667,0.020010276682824,1.02021182436622,0.677842003853564,14.78,66.68,51.9,-0.60088955256553,1.40678117735419,49.96,35.03,1.257,258.9,71.58,70.1619,1.02021182436622
2016-06-01 12:15:00,2016-06-01 00:00:00,1,6,12.25,-0.306645161815107,0.735911684149607,0.586705202312139,14.78,66.68,51.9,-1.11642622844151,1.30630884291396,45.23,34.66,0.78,457.8,91.3,124.0638,0.735911684149607
2016-06-01 12:30:00,2016-06-01 00:00:00,1,6,12.5,-0.174074670216248,0.84023415484991,0.772832369942196,14.78,66.68,51.9,-0.0896760353971007,1.48824523230572,54.89,35.33,1.73,358.8,81.7,97.2348,0.84023415484991
2016-06-01 12:35:00,2016-06-01 00:00:00,1,6,12.5833333333333,-0.324045060608311,0.723217653018214,0.671676300578035,14.78,66.68,51.9,-1.10886070070329,0.668173745793602,49.64,32.31,0.787,499,97.8,135.229,0.723217653018214
2016-06-01 12:40:00,2016-06-01 00:00:00,1,6,12.6666666666667,0.0602615374143921,1.06211429284919,0.6,14.78,66.68,51.9,-1.07643701039663,1.16238901249958,45.92,34.13,0.817,277.8,79.96,75.2838,1.06211429284919
2016-06-01 12:45:00,2016-06-01 00:00:00,1,6,12.75,0.0493807502037832,1.05062029848785,0.54990366088632,14.78,66.68,51.9,-1.27530231094418,0.860972009178902,43.32,33.02,0.633,269.6,76.76,73.0616,1.05062029848785
2016-06-01 12:50:00,2016-06-01 00:00:00,1,6,12.8333333333333,-0.588992500511819,0.55488605062107,0.585549132947977,14.78,66.68,51.9,-0.692756675101083,0.388480490459998,45.17,31.28,1.172,454.4,68.33,123.1424,0.55488605062107
2016-06-01 12:55:00,2016-06-01 00:00:00,1,6,12.9166666666667,0.613793568845171,1.84742646173525,0.538150289017341,14.78,66.68,51.9,-0.664656143501972,0.556839537359837,42.71,31.9,1.198,383.1,191.8,103.8201,1.84742646173525
2016-06-01 13:00:00,2016-06-01 00:00:00,1,6,13,-0.788585593806303,0.454487170354329,0.568400770712909,14.78,66.68,51.9,0.361013259865552,0.749637800745136,44.28,32.61,2.147,1036,127.6,280.756,0.454487170354329
2016-06-01 13:05:00,2016-06-01 00:00:00,1,6,13.0833333333333,-0.205227120958244,0.814462313942044,0.569556840077071,14.78,66.68,51.9,-0.132907622472655,0.814809044706365,44.34,32.85,1.69,628.4,138.7,170.2964,0.814462313942044
